delivery_id,customer_name,postcode,quality,latitude,longitude,demand,priority,cluster
DEPOT,DPD Hinckley Depot,LE10 3BQ,1,52.527037,-1.390319,0,depot,-1
D001,Ravi Williams,LE1 2GR,1,52.642145,-1.123577,1,standard,8
D002,Fatima Ahmed,LE2 7LJ,1,52.620365,-1.137335,2,standard,1
D003,Aisha Kaur,LE3 3JS,1,52.624994,-1.212189,5,standard,10
D004,George Thomas,LE4 1JY,1,52.673121,-1.152566,1,standard,8
D005,Mohammed Taylor,LE5 1HG,1,52.645171,-1.064262,2,standard,1
D006,Sophia Taylor,LE1 5DR,1,52.634827,-1.135795,5,express,8
D007,Fatima Roberts,LE2 3RE,1,52.60374,-1.105575,5,standard,1
D008,Nadia Nwosu,LE3 3RD,1,52.618524,-1.189839,1,standard,10
D009,Daniel Thomas,LE4 8DE,1,52.676899,-1.092265,3,standard,8
D010,Liam Taylor,LE5 1NB,1,52.645626,-1.055887,3,standard,1
D011,Mohammed Ali,LE1 5TT,1,52.630678,-1.136394,1,standard,8
D012,Yasmin Singh,LE2 6ET,1,52.611778,-1.126132,5,standard,1
D013,Nadia Patel,LE3 9BF,1,52.648506,-1.164024,4,standard,8
D014,Simran Ali,LE4 2FG,1,52.661772,-1.143337,1,standard,8
D015,Leon Begum,LE5 4FL,1,52.633157,-1.095105,5,standard,1
D016,George Taylor,LE6 0AE,1,52.685218,-1.234198,1,standard,2
D017,Aisha Ahmed,LE7 1YP,1,52.696641,-1.093306,3,standard,8
D018,Yasmin Ahmed,LE8 8UJ,1,52.528909,-1.041614,1,express,7
D019,Noah Roberts,LE9 9FW,1,52.627208,-1.286414,3,standard,2
D020,Amelia Singh,LE18 1FP,1,52.592358,-1.112671,2,standard,1
D021,Daniel Kowalski,LE19 3AY,1,52.578482,-1.21792,1,standard,10
D022,Sophia Kaur,LE6 0NZ,1,52.648836,-1.24116,2,standard,2
D023,Lucas Ali,LE7 7BZ,1,52.679188,-1.18715,3,standard,8
D024,Aisha Davis,LE8 4AE,1,52.567295,-1.162232,1,standard,10
D025,Leon Patel,LE9 4FT,1,52.537983,-1.280474,3,express,10
D026,Noah Khan,LE18 2RL,1,52.576368,-1.114262,2,standard,1
D027,Oliver Begum,LE19 9SY,1,52.573137,-1.20503,4,express,10
D028,Tyler Kowalski,LE10 0DU,1,52.545638,-1.373133,4,standard,10
D029,Noah Brown,CV10 9BB,1,52.529924,-1.497831,2,standard,6
D030,Chloe Morris,CV11 6FX,1,52.537173,-1.438317,4,express,6
D031,Amelia Ahmed,CV13 6PH,1,52.634258,-1.429643,2,express,2
D032,Mohammed Shah,NG1 1QE,1,52.952337,-1.144371,1,standard,5
D033,Liam Begum,NG2 7QU,1,52.933858,-1.137385,2,express,5
D034,Mia Khan,NG3 1DW,1,52.960259,-1.147177,4,express,5
D035,Mia Roberts,NG5 6AU,1,52.998825,-1.143616,5,standard,5
D036,Sophia Nwosu,NG7 3NW,1,52.959594,-1.168672,1,standard,5
D037,Aisha Osei,NG8 1AL,1,52.950129,-1.18963,5,standard,5
D038,Aaron Begum,NG9 1FN,1,52.924609,-1.220867,3,standard,4
D039,Charlotte Thomas,NG1 1ER,1,52.954389,-1.142172,2,express,5
D040,James Kaur,NG2 4PU,1,52.95201,-1.133913,3,standard,5
D041,Harry Kowalski,NG3 2BW,1,52.955294,-1.129322,1,standard,5
D042,Leon Begum,NG5 8AY,1,53.010673,-1.111724,5,standard,5
D043,Liam Singh,NG7 1AL,1,52.952449,-1.165043,2,standard,5
D044,Mia Davis,NG8 6HG,1,52.975836,-1.2356,4,standard,4
D045,Sarah Kowalski,NG9 6RL,1,52.906311,-1.246828,3,standard,4
D046,Fatima Patel,NG1 4ET,1,52.959738,-1.152279,2,standard,5
D047,Mohammed Kaur,NG2 9TW,5,52.938398,-1.134899,4,standard,5
D048,Aaron Hill,NG3 7AF,1,52.963743,-1.118314,2,standard,5
D049,Aisha Evans,NG5 7GH,1,53.006984,-1.122247,5,standard,5
D050,Noah Walker,NG7 6NR,1,52.969842,-1.159854,5,express,5
D051,Oliver Kowalski,NG8 3EP,1,52.970867,-1.209644,5,standard,4
D052,Daniel Johnson,NG9 6NX,1,52.908304,-1.239285,4,standard,4
D053,Lucas Osei,NG10 1JG,1,52.895668,-1.272892,5,express,4
D054,Sarah Ahmed,NG11 7EZ,1,52.919642,-1.165822,2,standard,5
D055,Aiden Smith,NG15 6NP,1,53.037536,-1.215897,5,standard,4
D056,George Ahmed,NG16 6GB,1,53.074484,-1.315085,1,standard,4
D057,Daniel Begum,CV1 2AR,1,52.403034,-1.494877,1,standard,6
D058,Mohammed Osei,CV2 2DS,1,52.424271,-1.42218,1,standard,6
D059,Mohammed Walker,CV3 4GA,1,52.385611,-1.48839,2,standard,6
D060,Aisha Evans,CV4 7EJ,1,52.385618,-1.552435,2,standard,6
D061,Chloe Kowalski,CV5 8EY,1,52.409085,-1.548347,5,express,6
D062,Fatima Sharma,CV6 3DU,1,52.432993,-1.519598,4,express,6
D063,Oliver Williams,CV1 4AP,1,52.411199,-1.518953,1,express,6
D064,Amelia Thomas,CV2 3PG,1,52.422448,-1.476995,4,express,6
D065,Yasmin Kaur,CV3 1AD,1,52.404235,-1.483574,1,standard,6
D066,Emily Ali,CV4 7BT,1,52.385238,-1.547223,3,standard,6
D067,Fatima Taylor,CV5 7HZ,1,52.411531,-1.563023,2,express,6
D068,Liam Thomas,CV6 5BB,1,52.427798,-1.498125,2,standard,6
D069,Lucas Ahmed,CV1 4FD,1,52.417236,-1.51577,1,express,6
D070,Nadia Nwosu,CV2 3GA,1,52.419341,-1.477767,5,standard,6
D071,Emily Begum,CV3 2GL,1,52.395436,-1.453947,5,standard,6
D072,Mohammed Kowalski,CV4 8ET,1,52.395071,-1.583099,2,standard,6
