van,stop_order,delivery_id,customer_name,postcode,latitude,longitude,demand,priority,dist_from_prev_km,route_km_so_far
0,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
0,1,D107,Daniel Evans,CV11 6JY,52.524228,-1.459721,4,express,4.7055,4.7055
0,2,D284,Sarah Morris,CV11 9FD,52.522758,-1.464633,5,standard,0.3703,5.0759
0,3,D097,Lucas Thomas,CV10 7EX,52.517219,-1.480572,5,standard,1.2419,6.3178
0,4,D131,Aaron Walker,CV10 8BN,52.521387,-1.488069,4,express,0.6871,7.0049
0,5,D001,James Davis,CV10 7RY,52.51825,-1.496623,2,standard,0.6758,7.6807
0,6,D110,Aisha Morris,CV10 7HW,52.511765,-1.487459,3,express,0.9511,8.6317
0,7,D247,Sarah Nwosu,CV13 6JY,52.580387,-1.496177,4,standard,7.6532,16.2849
0,8,D154,Priya Morris,CV13 6LJ,52.607033,-1.47762,4,express,3.2171,19.502
0,9,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,10.6742,30.1763
1,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
1,1,D046,Ethan Ahmed,LE2 7NE,52.612159,-1.136433,2,standard,19.5961,19.5961
1,2,D249,Emily Sharma,LE1 7RJ,52.619327,-1.123367,3,standard,1.1889,20.785
1,3,D002,Priya Kaur,LE2 0LF,52.630734,-1.123213,4,express,1.2684,22.0534
1,4,D115,Aiden Williams,LE1 6NB,52.631652,-1.127007,5,standard,0.2757,22.3291
1,5,D127,Isabella Khan,LE1 1DN,52.632573,-1.127476,5,standard,0.1072,22.4362
1,6,D220,Nadia Roberts,LE1 5BJ,52.633903,-1.133597,1,standard,0.4388,22.875
1,7,D159,Lucas Khan,LE1 5WR,52.629142,-1.135375,3,standard,0.5428,23.4178
1,8,D011,Yasmin Jones,LE3 5QA,52.633413,-1.151515,2,express,1.1883,24.6061
1,9,D070,Leon Roberts,LE5 5BS,52.629525,-1.104547,2,standard,3.1992,27.8053
1,10,D130,Mia Clarke,LE5 4HJ,52.6323,-1.095935,5,standard,0.658,28.4633
1,11,D231,Amelia Hussain,LE5 4LJ,52.636205,-1.089264,3,express,0.6255,29.0888
1,12,D208,Mohammed Roberts,LE4 9BA,52.651279,-1.096062,3,standard,1.7378,30.8266
1,13,D234,Mia Osei,LE5 1HN,52.645803,-1.065697,5,standard,2.1371,32.9636
1,14,D239,Sarah Williams,LE5 6DL,52.621424,-1.0809,2,standard,2.8985,35.8621
1,15,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,23.3957,59.2579
2,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
2,1,D010,Mia Kaur,LE4 3JD,52.680981,-1.136808,2,standard,24.2096,24.2096
2,2,D188,Yasmin Williams,LE4 4ED,52.677815,-1.120645,4,standard,1.1451,25.3547
2,3,D072,Mohammed Begum,LE4 8BE,52.681325,-1.097365,4,standard,1.6172,26.9719
2,4,D167,James Begum,LE4 8FD,52.681087,-1.095536,5,standard,0.1261,27.098
2,5,D101,Aiden Smith,LE7 1NF,52.692009,-1.089585,4,standard,1.279,28.377
2,6,D076,Noah Shah,LE7 2AW,52.693863,-1.067855,4,standard,1.4789,29.8559
2,7,D296,Amelia Johnson,LE4 7ZJ,52.661268,-1.100912,3,standard,4.2548,34.1107
2,8,D157,Aiden Thomas,LE7 7NA,52.708806,-1.125987,4,standard,5.5496,39.6603
2,9,D008,Oliver Hussain,LE7 7QY,52.711719,-1.138319,2,standard,0.8917,40.552
2,10,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,26.6667,67.2188
3,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
3,1,D168,Daniel Jones,CV12 0HL,52.470812,-1.503598,3,standard,9.8938,9.8938
3,2,D287,Sarah Shah,CV6 6NZ,52.451879,-1.488772,3,standard,2.3326,12.2264
3,3,D229,Mohammed Sharma,CV6 5JB,52.435816,-1.499902,4,standard,1.9389,14.1653
3,4,D042,James Patel,CV6 4FX,52.443853,-1.515111,2,express,1.3644,15.5297
3,5,D067,Isabella Ahmed,CV6 2HW,52.442264,-1.524381,3,express,0.6527,16.1823
3,6,D111,Sophia Walker,CV6 2LQ,52.434348,-1.523422,3,express,0.8826,17.065
3,7,D260,Chloe Khan,CV1 4JD,52.420235,-1.506165,4,express,1.9575,19.0225
3,8,D299,Noah Roberts,CV1 4GN,52.417596,-1.507003,4,express,0.2989,19.3213
3,9,D105,Harry Taylor,CV1 5LZ,52.413508,-1.501212,1,standard,0.6007,19.9221
3,10,D295,Zara Roberts,CV1 4DR,52.412974,-1.513479,3,standard,0.8341,20.7562
3,11,D003,Sophia Smith,CV1 4GZ,52.409802,-1.516057,1,standard,0.3937,21.1499
3,12,D121,Noah Patel,CV1 3BJ,52.406573,-1.524574,1,standard,0.6802,21.8301
3,13,D252,George Taylor,CV5 6GG,52.402707,-1.528893,2,standard,0.5202,22.3503
3,14,D048,Fatima Jones,CV5 6NP,52.40091,-1.52462,5,express,0.3521,22.7024
3,15,D073,Yasmin Roberts,CV5 8BW,52.411308,-1.52836,2,standard,1.1837,23.8861
3,16,D280,Sophia Patel,CV1 2XL,52.403521,-1.501589,5,standard,2.0118,25.898
3,17,D275,Zara Kaur,CV3 5LN,52.391718,-1.497518,1,standard,1.3412,27.2391
3,18,D021,Aisha Iqbal,CV2 4PY,52.414214,-1.487472,5,standard,2.5926,29.8318
3,19,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,14.1666,43.9984
4,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
4,1,D201,Fatima Walker,CV2 2EY,52.423887,-1.445302,4,standard,12.0591,12.0591
4,2,D026,Ethan Osei,CV2 3AZ,52.423348,-1.451368,5,standard,0.4157,12.4748
4,3,D172,Simran Rahman,CV2 2JA,52.418833,-1.443219,3,standard,0.7466,13.2214
4,4,D288,Nadia Thomas,CV3 2RS,52.405817,-1.441648,5,standard,1.4512,14.6727
4,5,D133,Charlotte Morris,CV3 3DW,52.388015,-1.456977,5,standard,2.2361,16.9088
4,6,D149,Tyler Thomas,CV4 8YU,52.381739,-1.4608,3,standard,0.7445,17.6533
4,7,D253,Aaron Brown,CV3 4DA,52.385755,-1.476281,5,standard,1.1417,18.7949
4,8,D053,Tyler Jones,CV2 3GZ,52.419741,-1.480997,4,express,3.7926,22.5875
4,9,D278,Mohammed Iqbal,CV2 3JD,52.422509,-1.478553,1,standard,0.3496,22.9371
4,10,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,13.0693,36.0064
5,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
5,1,D062,Zara Patel,NG8 3FJ,52.964456,-1.202643,2,express,50.2525,50.2525
5,2,D123,Yasmin Smith,NG8 5NL,52.980562,-1.204924,5,standard,1.7974,52.0499
5,3,D083,George Taylor,NG8 5DG,52.980405,-1.194962,4,standard,0.6672,52.7171
