van,stop_order,delivery_id,customer_name,postcode,latitude,longitude,demand,priority,dist_from_prev_km,route_km_so_far
0,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
0,1,D287,Sarah Shah,CV6 6NZ,52.451879,-1.488772,3,standard,10.6901,10.6901
0,2,D229,Mohammed Sharma,CV6 5JB,52.435816,-1.499902,4,standard,1.9389,12.629
0,3,D260,Chloe Khan,CV1 4JD,52.420235,-1.506165,4,express,1.7838,14.4128
0,4,D299,Noah Roberts,CV1 4GN,52.417596,-1.507003,4,express,0.2989,14.7117
0,5,D105,Harry Taylor,CV1 5LZ,52.413508,-1.501212,1,standard,0.6007,15.3124
0,6,D021,Aisha Iqbal,CV2 4PY,52.414214,-1.487472,5,standard,0.9352,16.2476
0,7,D053,Tyler Jones,CV2 3GZ,52.419741,-1.480997,4,express,0.7553,17.003
0,8,D278,Mohammed Iqbal,CV2 3JD,52.422509,-1.478553,1,standard,0.3496,17.3525
0,9,D026,Ethan Osei,CV2 3AZ,52.423348,-1.451368,5,standard,1.8458,19.1983
0,10,D201,Fatima Walker,CV2 2EY,52.423887,-1.445302,4,standard,0.4157,19.614
0,11,D172,Simran Rahman,CV2 2JA,52.418833,-1.443219,3,standard,0.5795,20.1934
0,12,D288,Nadia Thomas,CV3 2RS,52.405817,-1.441648,5,standard,1.4512,21.6447
0,13,D133,Charlotte Morris,CV3 3DW,52.388015,-1.456977,5,standard,2.2361,23.8808
0,14,D149,Tyler Thomas,CV4 8YU,52.381739,-1.4608,3,standard,0.7445,24.6253
0,15,D253,Aaron Brown,CV3 4DA,52.385755,-1.476281,5,standard,1.1417,25.7669
0,16,D275,Zara Kaur,CV3 5LN,52.391718,-1.497518,1,standard,1.5864,27.3534
0,17,D280,Sophia Patel,CV1 2XL,52.403521,-1.501589,5,standard,1.3412,28.6945
0,18,D295,Zara Roberts,CV1 4DR,52.412974,-1.513479,3,standard,1.3249,30.0194
0,19,D003,Sophia Smith,CV1 4GZ,52.409802,-1.516057,1,standard,0.3937,30.4131
0,20,D048,Fatima Jones,CV5 6NP,52.40091,-1.52462,5,express,1.1468,31.5599
0,21,D252,George Taylor,CV5 6GG,52.402707,-1.528893,2,standard,0.3521,31.9119
0,22,D121,Noah Patel,CV1 3BJ,52.406573,-1.524574,1,standard,0.5202,32.4322
0,23,D073,Yasmin Roberts,CV5 8BW,52.411308,-1.52836,2,standard,0.5858,33.018
0,24,D075,Lucas Davis,CV5 8HT,52.416269,-1.541584,3,express,1.053,34.0709
0,25,D060,Daniel Brown,CV5 9NS,52.417367,-1.556025,2,standard,0.987,35.0579
0,26,D233,Aisha Ahmed,CV5 9JB,52.413794,-1.557517,4,standard,0.41,35.4679
0,27,D255,Sophia Wilson,CV5 7AH,52.406042,-1.554508,2,standard,0.8858,36.3537
0,28,D283,Charlotte Clarke,CV4 9FW,52.407024,-1.572079,3,standard,1.1969,37.5506
0,29,D269,Noah Clarke,CV4 9BG,52.400006,-1.565445,5,standard,0.9008,38.4515
0,30,D145,Mia Kaur,CV4 8LS,52.395684,-1.556463,5,standard,0.7761,39.2276
0,31,D224,Harry Walker,CV4 8FL,52.392139,-1.560481,3,standard,0.4793,39.7069
0,32,D084,Aaron Singh,CV4 7BX,52.388265,-1.546443,2,standard,1.0455,40.7523
0,33,D069,Aisha Hussain,CV8 2TB,52.343028,-1.556548,4,standard,5.0767,45.8291
0,34,D257,James Singh,CV4 8JB,52.389136,-1.572736,2,standard,5.2435,51.0725
0,35,D116,Oliver Taylor,CV4 9JF,52.398887,-1.57933,4,standard,1.173,52.2455
0,36,D036,Charlotte Taylor,CV4 8LN,52.394533,-1.596624,4,standard,1.2694,53.5148
0,37,D292,George Hussain,CV4 9UD,52.401526,-1.598824,4,standard,0.7918,54.3066
0,38,D087,George Hussain,CV4 9WG,52.410431,-1.600405,4,express,0.996,55.3026
0,39,D222,Aiden Kaur,CV4 9GY,52.414022,-1.604048,4,standard,0.4696,55.7722
0,40,D128,Liam Brown,CV7 7LB,52.43007,-1.641159,5,standard,3.085,58.8572
0,41,D078,Chloe Hill,CV5 7BQ,52.414118,-1.577186,1,standard,4.6867,63.5439
0,42,D108,Nadia Smith,CV5 9GG,52.426015,-1.568145,1,standard,1.4581,65.0019
0,43,D111,Sophia Walker,CV6 2LQ,52.434348,-1.523422,3,express,3.1706,68.1725
0,44,D067,Isabella Ahmed,CV6 2HW,52.442264,-1.524381,3,express,0.8826,69.0551
0,45,D042,James Patel,CV6 4FX,52.443853,-1.515111,2,express,0.6527,69.7078
0,46,D168,Daniel Jones,CV12 0HL,52.470812,-1.503598,3,standard,3.0975,72.8053
0,47,D110,Aisha Morris,CV10 7HW,52.511765,-1.487459,3,express,4.683,77.4884
0,48,D001,James Davis,CV10 7RY,52.51825,-1.496623,2,standard,0.9511,78.4394
0,49,D131,Aaron Walker,CV10 8BN,52.521387,-1.488069,4,express,0.6758,79.1152
0,50,D097,Lucas Thomas,CV10 7EX,52.517219,-1.480572,5,standard,0.6871,79.8023
0,51,D284,Sarah Morris,CV11 9FD,52.522758,-1.464633,5,standard,1.2419,81.0442
0,52,D107,Daniel Evans,CV11 6JY,52.524228,-1.459721,4,express,0.3703,81.4146
0,53,D247,Sarah Nwosu,CV13 6JY,52.580387,-1.496177,4,standard,6.7134,88.128
0,54,D154,Priya Morris,CV13 6LJ,52.607033,-1.47762,4,express,3.2171,91.3451
0,55,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,10.6742,102.0194
1,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
1,1,D016,Oliver Iqbal,LE2 9LT,52.58993,-1.156871,4,standard,17.2615,17.2615
1,2,D046,Ethan Ahmed,LE2 7NE,52.612159,-1.136433,2,standard,2.831,20.0925
1,3,D249,Emily Sharma,LE1 7RJ,52.619327,-1.123367,3,standard,1.1889,21.2814
1,4,D002,Priya Kaur,LE2 0LF,52.630734,-1.123213,4,express,1.2684,22.5498
1,5,D115,Aiden Williams,LE1 6NB,52.631652,-1.127007,5,standard,0.2757,22.8255
1,6,D127,Isabella Khan,LE1 1DN,52.632573,-1.127476,5,standard,0.1072,22.9326
1,7,D220,Nadia Roberts,LE1 5BJ,52.633903,-1.133597,1,standard,0.4388,23.3714
1,8,D159,Lucas Khan,LE1 5WR,52.629142,-1.135375,3,standard,0.5428,23.9142
1,9,D011,Yasmin Jones,LE3 5QA,52.633413,-1.151515,2,express,1.1883,25.1025
1,10,D207,Tyler Johnson,LE3 6FJ,52.639759,-1.171758,5,standard,1.5375,26.64
1,11,D188,Yasmin Williams,LE4 4ED,52.677815,-1.120645,4,standard,5.4581,32.0982
1,12,D010,Mia Kaur,LE4 3JD,52.680981,-1.136808,2,standard,1.1451,33.2432
1,13,D008,Oliver Hussain,LE7 7QY,52.711719,-1.138319,2,standard,3.4194,36.6627
1,14,D157,Aiden Thomas,LE7 7NA,52.708806,-1.125987,4,standard,0.8917,37.5544
1,15,D101,Aiden Smith,LE7 1NF,52.692009,-1.089585,4,standard,3.083,40.6374
1,16,D076,Noah Shah,LE7 2AW,52.693863,-1.067855,4,standard,1.4789,42.1163
1,17,D167,James Begum,LE4 8FD,52.681087,-1.095536,5,standard,2.345,44.4613
1,18,D072,Mohammed Begum,LE4 8BE,52.681325,-1.097365,4,standard,0.1261,44.5874
1,19,D296,Amelia Johnson,LE4 7ZJ,52.661268,-1.100912,3,standard,2.243,46.8304
1,20,D208,Mohammed Roberts,LE4 9BA,52.651279,-1.096062,3,standard,1.1579,47.9883
1,21,D234,Mia Osei,LE5 1HN,52.645803,-1.065697,5,standard,2.1371,50.1254
1,22,D231,Amelia Hussain,LE5 4LJ,52.636205,-1.089264,3,express,1.9151,52.0405
1,23,D130,Mia Clarke,LE5 4HJ,52.6323,-1.095935,5,standard,0.6255,52.666
1,24,D070,Leon Roberts,LE5 5BS,52.629525,-1.104547,2,standard,0.658,53.324
1,25,D239,Sarah Williams,LE5 6DL,52.621424,-1.0809,2,standard,1.8328,55.1568
1,26,D022,James Williams,LE2 2PB,52.604929,-1.086959,3,standard,1.8792,57.036
1,27,D300,Mia Roberts,LE2 5UA,52.592068,-1.080407,4,standard,1.497,58.533
1,28,D162,Zara Patel,LE2 4QQ,52.595076,-1.06967,2,standard,0.7987,59.3317
1,29,D166,Tyler Rahman,LE8 0PT,52.544545,-0.994233,4,standard,7.5871,66.9187
1,30,D140,Daniel Nwosu,LE8 8DG,52.527535,-1.040671,4,standard,3.6664,70.5851
1,31,D297,Tyler Patel,LE8 8AP,52.53468,-1.048197,2,standard,0.9436,71.5287
1,32,D012,James Jones,LE8 8ER,52.536239,-1.043076,3,express,0.3873,71.9161
1,33,D265,Isabella Nwosu,LE18 3SH,52.575923,-1.08067,4,express,5.0922,77.0083
1,34,D051,Aaron Osei,LE18 3YP,52.585119,-1.101555,4,express,1.7427,78.751
1,35,D206,Noah Hussain,LE18 1PJ,52.586606,-1.105702,1,express,0.3253,79.0763
1,36,D204,Simran Morris,LE18 4ZH,52.578985,-1.123994,2,standard,1.4985,80.5748
1,37,D189,Harry Kowalski,LE18 4NJ,52.574799,-1.124432,4,standard,0.4664,81.0412
1,38,D244,Lucas Roberts,LE8 5RF,52.55695,-1.135023,2,standard,2.1099,83.1511
1,39,D095,Zara Jones,LE8 5RG,52.552116,-1.136667,5,standard,0.5489,83.7
1,40,D045,Daniel Rahman,LE8 4BS,52.56403,-1.161999,4,express,2.1651,85.8651
1,41,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,15.9778,101.8429
2,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
2,1,D050,Lucas Brown,NG11 9HH,52.897676,-1.189835,4,standard,43.3695,43.3695
2,2,D289,Mia Kowalski,NG11 8LQ,52.901897,-1.173566,3,standard,1.1879,44.5574
2,3,D014,Priya Sharma,NG11 7AU,52.926312,-1.158197,1,express,2.9038,47.4613
2,4,D059,Liam Brown,NG11 7AE,52.933116,-1.155417,2,express,0.7792,48.2404
2,5,D142,Zara Williams,NG2 1PF,52.940029,-1.155446,5,standard,0.7687,49.0091
2,6,D211,Yasmin Evans,NG7 2EW,52.948025,-1.175278,1,standard,1.5989,50.608
2,7,D085,Aaron Iqbal,NG7 2GA,52.949163,-1.182504,2,standard,0.5004,51.1084
2,8,D195,Mia Khan,NG7 3BS,52.958596,-1.176431,2,standard,1.125,52.2334
2,9,D044,Zara Osei,NG7 4FN,52.959629,-1.164815,5,standard,0.7865,53.0199
2,10,D218,Aisha Shah,NG7 6NA,52.970737,-1.161802,2,standard,1.2515,54.2714
2,11,D092,Harry Begum,NG7 6HS,52.970248,-1.165206,3,standard,0.2343,54.5058
2,12,D144,Mohammed Patel,NG7 7LW,52.972318,-1.165538,2,standard,0.2312,54.737
2,13,D006,Zara Brown,NG7 5PJ,52.96816,-1.180314,1,standard,1.0922,55.8292
2,14,D062,Zara Patel,NG8 3FJ,52.964456,-1.202643,2,express,1.5511,57.3803
2,15,D017,Charlotte Iqbal,NG8 6QH,52.980663,-1.228545,2,standard,2.5012,59.8815
2,16,D123,Yasmin Smith,NG8 5NL,52.980562,-1.204924,5,standard,1.5814,61.4629
2,17,D083,George Taylor,NG8 5DG,52.980405,-1.194962,4,standard,0.6672,62.1301
2,18,D068,Isabella Smith,NG6 0HG,52.978268,-1.183534,4,standard,0.8012,62.9312
2,19,D198,Priya Rahman,NG7 7DN,52.976725,-1.172319,3,standard,0.7702,63.7015
2,20,D196,Fatima Kaur,NG5 1GW,52.983535,-1.165307,1,express,0.891,64.5924
2,21,D282,Yasmin Hussain,NG5 5JR,52.997365,-1.161986,4,standard,1.5538,66.1462
2,22,D177,Aiden Kowalski,NG6 0EF,52.989357,-1.176457,5,standard,1.3157,67.4619
2,23,D063,Ethan Osei,NG6 0EP,52.989426,-1.178675,5,standard,0.1487,67.6106
2,24,D273,Zara Roberts,NG6 9GP,52.997385,-1.185706,2,express,1.0023,68.6129
2,25,D004,Tyler Rahman,NG6 9FT,52.999647,-1.183861,2,standard,0.2802,68.8931
2,26,D161,Aisha Nwosu,NG6 9HL,53.000617,-1.190339,5,express,0.4467,69.3398
2,27,D019,Aiden Wilson,NG6 8SP,52.999878,-1.199383,1,standard,0.6108,69.9506
2,28,D091,Sophia Thomas,NG6 8GP,53.005485,-1.196329,3,standard,0.6561,70.6067
2,29,D064,Yasmin Osei,NG5 5DG,53.012952,-1.177498,5,express,1.5089,72.1155
2,30,D228,Yasmin Hussain,NG5 9QL,53.015591,-1.162691,4,standard,1.0331,73.1486
2,31,D056,Ravi Ahmed,NG5 8LR,53.007566,-1.139046,3,express,1.8162,74.9648
2,32,D126,Sarah Iqbal,NG5 8UB,53.015088,-1.12651,1,express,1.1845,76.1493
2,33,D099,Noah Osei,NG3 5GR,52.991933,-1.109651,4,standard,2.811,78.9603
2,34,D180,Yasmin Brown,NG5 4LX,52.990804,-1.122337,4,express,0.8583,79.8186
2,35,D238,Emily Patel,NG3 5QF,52.989078,-1.119914,3,express,0.2513,80.0699
2,36,D270,Ethan Clarke,NG3 6BS,52.983171,-1.116116,5,standard,0.7043,80.7742
2,37,D276,Zara Davis,NG3 6FL,52.980516,-1.110779,3,standard,0.4635,81.2377
2,38,D259,Liam Kaur,NG3 6BY,52.979021,-1.112895,4,standard,0.2184,81.4561
2,39,D242,Ravi Williams,NG3 2LL,52.963951,-1.125754,4,express,1.884,83.3401
2,40,D023,George Wilson,NG3 3GG,52.962324,-1.136804,1,standard,0.7619,84.102
2,41,D113,Daniel Roberts,NG3 4PN,52.96492,-1.140266,3,standard,0.3703,84.4722
2,42,D039,Charlotte Walker,NG1 4BA,52.957094,-1.149517,5,standard,1.0683,85.5405
2,43,D118,Sarah Iqbal,NG1 7AQ,52.951288,-1.149675,2,standard,0.6457,86.1862
2,44,D175,Ethan Taylor,NG3 1JG,52.95558,-1.135345,5,standard,1.0721,87.2583
2,45,D098,Aiden Nwosu,NG2 4DE,52.949973,-1.123371,2,standard,1.016,88.2742
2,46,D027,Noah Patel,NG2 3LY,52.947361,-1.122665,4,standard,0.2943,88.5685
2,47,D227,Lucas Khan,NG2 5FF,52.938103,-1.132702,2,standard,1.2297,89.7982
2,48,D124,Isabella Evans,NG2 9SN,52.938398,-1.134899,4,standard,0.1508,89.949
2,49,D286,Yasmin Williams,NG2 7RD,52.931505,-1.141344,3,standard,0.8798,90.8288
2,50,D200,Amelia Singh,NG2 6GA,52.922757,-1.122671,4,standard,1.5852,92.414
2,51,D141,Aisha Ahmed,NG2 6GP,52.922585,-1.112828,3,standard,0.6601,93.0741
2,52,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,47.7882,140.8623
3,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
3,1,D291,Amelia Smith,NG10 3AZ,52.883182,-1.310712,2,standard,39.9631,39.9631
3,2,D071,Simran Ali,NG10 3JG,52.887725,-1.297383,5,standard,1.0271,40.9902
3,3,D254,Noah Nwosu,NG10 5LQ,52.918429,-1.29372,2,standard,3.423,44.4132
3,4,D047,Tyler Shah,NG10 5GT,52.920775,-1.298159,1,express,0.3958,44.8089
3,5,D148,Lucas Khan,NG9 8PD,52.936311,-1.270159,5,standard,2.5508,47.3598
3,6,D160,Aiden Williams,NG10 4HZ,52.907749,-1.281611,4,standard,3.2674,50.6272
3,7,D165,Sophia Brown,NG10 1DA,52.892722,-1.276226,3,express,1.7095,52.3367
3,8,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,41.3824,93.7191
4,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
4,1,D013,Nadia Hussain,NG16 1HD,53.004473,-1.246391,2,standard,53.9644,53.9644
4,2,D215,Simran Clarke,NG15 6WY,53.016455,-1.22257,4,standard,2.0772,56.0416
4,3,D079,Fatima Begum,NG15 7LJ,53.029731,-1.204586,1,standard,1.9042,57.9458
4,4,D077,Leon Khan,NG15 7NN,53.030831,-1.206504,4,standard,0.1772,58.1231
4,5,D210,Yasmin Johnson,NG15 7FY,53.037933,-1.207836,2,express,0.7947,58.9178
4,6,D245,Sarah Hussain,NG15 5DH,53.037954,-1.204345,3,standard,0.2334,59.1512
4,7,D171,Sarah Begum,NG15 7AT,53.038961,-1.204282,2,express,0.1121,59.2633
4,8,D147,Daniel Ali,NG15 7BJ,53.040181,-1.202634,3,express,0.1748,59.438
4,9,D267,Mohammed Osei,NG15 8GG,53.042529,-1.190822,1,standard,0.8317,60.2698
4,10,D174,Fatima Roberts,NG15 8NA,53.078473,-1.192926,5,standard,3.9993,64.269
4,11,D248,Aisha Taylor,NG17 9AE,53.083933,-1.247094,5,standard,3.6686,67.9376
4,12,D194,Aiden Begum,NG17 5LF,53.114327,-1.223436,4,standard,3.7305,71.6682
4,13,D155,Mohammed Evans,NG17 4PJ,53.136462,-1.228179,3,express,2.4816,74.1497
4,14,D156,Aiden Davis,NG17 4LP,53.126996,-1.246297,1,standard,1.6028,75.7525
4,15,D086,Sarah Morris,NG17 3NE,53.141489,-1.284614,1,standard,3.0218,78.7743
4,16,D203,Mia Hussain,NG17 1LU,53.118656,-1.277088,2,express,2.5881,81.3624
4,17,D005,Leon Singh,NG17 8JA,53.106098,-1.266693,5,standard,1.5593,82.9216
4,18,D230,Noah Hill,NG16 6HN,53.094515,-1.314169,1,express,3.4213,86.343
4,19,D134,Mia Kaur,NG16 3SB,53.020119,-1.318703,1,standard,8.278,94.621
4,20,D136,Priya Ahmed,NG16 3PS,53.019393,-1.29136,2,standard,1.8307,96.4517
4,21,D028,Harry Kowalski,NG16 2DL,53.011964,-1.281868,5,standard,1.0419,97.4936
4,22,D256,Aisha Nwosu,NG16 2RN,52.994652,-1.280471,1,standard,1.9273,99.4209
4,23,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,52.5191,151.94
5,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
5,1,D120,James Rahman,LE10 3JJ,52.51898,-1.370918,5,standard,1.5892,1.5892
5,2,D061,Zara Thomas,LE9 4LY,52.549644,-1.28369,3,express,6.8144,8.4035
5,3,D262,Lucas Walker,LE9 6TR,52.534062,-1.216601,2,standard,4.8566,13.2601
5,4,D250,Liam Sharma,LE19 2GP,52.570085,-1.216476,5,standard,4.0056,17.2657
5,5,D007,Amelia Osei,LE19 2GB,52.571687,-1.209999,1,standard,0.4726,17.7383
5,6,D049,Emily Hill,LE19 2DW,52.574496,-1.201199,2,standard,0.6717,18.41
5,7,D041,Fatima Sharma,LE19 2JQ,52.568351,-1.196589,2,standard,0.751,19.161
5,8,D243,Noah Patel,LE8 6XT,52.562501,-1.17203,3,standard,1.7829,20.9439
5,9,D209,Ravi Thomas,LE8 4AP,52.566518,-1.170524,3,express,0.4581,21.402
5,10,D272,Sarah Sharma,LE8 4PD,52.576244,-1.172923,1,standard,1.0936,22.4955
5,11,D031,Harry Johnson,LE8 6HL,52.577461,-1.177327,4,standard,0.3269,22.8225
5,12,D241,George Kaur,LE19 2AJ,52.584559,-1.192397,2,express,1.2883,24.1108
5,13,D037,Lucas Roberts,LE2 9DS,52.587317,-1.171269,4,standard,1.46,25.5707
5,14,D263,Chloe Sharma,LE3 2RY,52.602799,-1.177991,5,standard,1.7804,27.3511
5,15,D030,Mia Davis,LE19 1TP,52.611481,-1.190662,1,standard,1.29,28.6411
