van,stop_order,delivery_id,customer_name,postcode,latitude,longitude,demand,priority,dist_from_prev_km,route_km_so_far
0,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
0,1,D107,Daniel Evans,CV11 6JY,52.524228,-1.459721,4,express,4.7055,4.7055
0,2,D284,Sarah Morris,CV11 9FD,52.522758,-1.464633,5,standard,0.3703,5.0759
0,3,D097,Lucas Thomas,CV10 7EX,52.517219,-1.480572,5,standard,1.2419,6.3178
0,4,D131,Aaron Walker,CV10 8BN,52.521387,-1.488069,4,express,0.6871,7.0049
0,5,D001,James Davis,CV10 7RY,52.51825,-1.496623,2,standard,0.6758,7.6807
0,6,D110,Aisha Morris,CV10 7HW,52.511765,-1.487459,3,express,0.9511,8.6317
0,7,D168,Daniel Jones,CV12 0HL,52.470812,-1.503598,3,standard,4.683,13.3148
0,8,D287,Sarah Shah,CV6 6NZ,52.451879,-1.488772,3,standard,2.3326,15.6474
0,9,D229,Mohammed Sharma,CV6 5JB,52.435816,-1.499902,4,standard,1.9389,17.5863
0,10,D042,James Patel,CV6 4FX,52.443853,-1.515111,2,express,1.3644,18.9506
0,11,D067,Isabella Ahmed,CV6 2HW,52.442264,-1.524381,3,express,0.6527,19.6033
0,12,D111,Sophia Walker,CV6 2LQ,52.434348,-1.523422,3,express,0.8826,20.4859
0,13,D260,Chloe Khan,CV1 4JD,52.420235,-1.506165,4,express,1.9575,22.4434
0,14,D299,Noah Roberts,CV1 4GN,52.417596,-1.507003,4,express,0.2989,22.7423
0,15,D105,Harry Taylor,CV1 5LZ,52.413508,-1.501212,1,standard,0.6007,23.343
0,16,D295,Zara Roberts,CV1 4DR,52.412974,-1.513479,3,standard,0.8341,24.1771
0,17,D003,Sophia Smith,CV1 4GZ,52.409802,-1.516057,1,standard,0.3937,24.5708
0,18,D121,Noah Patel,CV1 3BJ,52.406573,-1.524574,1,standard,0.6802,25.251
0,19,D252,George Taylor,CV5 6GG,52.402707,-1.528893,2,standard,0.5202,25.7713
0,20,D048,Fatima Jones,CV5 6NP,52.40091,-1.52462,5,express,0.3521,26.1234
0,21,D073,Yasmin Roberts,CV5 8BW,52.411308,-1.52836,2,standard,1.1837,27.3071
0,22,D075,Lucas Davis,CV5 8HT,52.416269,-1.541584,3,express,1.053,28.36
0,23,D060,Daniel Brown,CV5 9NS,52.417367,-1.556025,2,standard,0.987,29.347
0,24,D233,Aisha Ahmed,CV5 9JB,52.413794,-1.557517,4,standard,0.41,29.757
0,25,D255,Sophia Wilson,CV5 7AH,52.406042,-1.554508,2,standard,0.8858,30.6428
0,26,D269,Noah Clarke,CV4 9BG,52.400006,-1.565445,5,standard,1.0005,31.6433
0,27,D145,Mia Kaur,CV4 8LS,52.395684,-1.556463,5,standard,0.7761,32.4194
0,28,D224,Harry Walker,CV4 8FL,52.392139,-1.560481,3,standard,0.4793,32.8987
0,29,D257,James Singh,CV4 8JB,52.389136,-1.572736,2,standard,0.8962,33.7948
0,30,D116,Oliver Taylor,CV4 9JF,52.398887,-1.57933,4,standard,1.173,34.9678
0,31,D283,Charlotte Clarke,CV4 9FW,52.407024,-1.572079,3,standard,1.0299,35.9977
0,32,D078,Chloe Hill,CV5 7BQ,52.414118,-1.577186,1,standard,0.8615,36.8592
0,33,D108,Nadia Smith,CV5 9GG,52.426015,-1.568145,1,standard,1.4581,38.3172
0,34,D222,Aiden Kaur,CV4 9GY,52.414022,-1.604048,4,standard,2.776,41.0933
0,35,D087,George Hussain,CV4 9WG,52.410431,-1.600405,4,express,0.4696,41.5628
0,36,D292,George Hussain,CV4 9UD,52.401526,-1.598824,4,standard,0.996,42.5588
0,37,D036,Charlotte Taylor,CV4 8LN,52.394533,-1.596624,4,standard,0.7918,43.3506
0,38,D084,Aaron Singh,CV4 7BX,52.388265,-1.546443,2,standard,3.4758,46.8264
0,39,D275,Zara Kaur,CV3 5LN,52.391718,-1.497518,1,standard,3.3422,50.1686
0,40,D280,Sophia Patel,CV1 2XL,52.403521,-1.501589,5,standard,1.3412,51.5098
0,41,D021,Aisha Iqbal,CV2 4PY,52.414214,-1.487472,5,standard,1.5267,53.0364
0,42,D053,Tyler Jones,CV2 3GZ,52.419741,-1.480997,4,express,0.7553,53.7918
0,43,D278,Mohammed Iqbal,CV2 3JD,52.422509,-1.478553,1,standard,0.3496,54.1413
0,44,D026,Ethan Osei,CV2 3AZ,52.423348,-1.451368,5,standard,1.8458,55.9871
0,45,D201,Fatima Walker,CV2 2EY,52.423887,-1.445302,4,standard,0.4157,56.4028
0,46,D172,Simran Rahman,CV2 2JA,52.418833,-1.443219,3,standard,0.5795,56.9822
0,47,D288,Nadia Thomas,CV3 2RS,52.405817,-1.441648,5,standard,1.4512,58.4335
0,48,D133,Charlotte Morris,CV3 3DW,52.388015,-1.456977,5,standard,2.2361,60.6696
0,49,D149,Tyler Thomas,CV4 8YU,52.381739,-1.4608,3,standard,0.7445,61.4141
0,50,D253,Aaron Brown,CV3 4DA,52.385755,-1.476281,5,standard,1.1417,62.5558
0,51,D069,Aisha Hussain,CV8 2TB,52.343028,-1.556548,4,standard,7.2302,69.786
0,52,D128,Liam Brown,CV7 7LB,52.43007,-1.641159,5,standard,11.2538,81.0398
0,53,D247,Sarah Nwosu,CV13 6JY,52.580387,-1.496177,4,standard,19.3821,100.4219
0,54,D154,Priya Morris,CV13 6LJ,52.607033,-1.47762,4,express,3.2171,103.639
0,55,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,10.6742,114.3133
1,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
1,1,D045,Daniel Rahman,LE8 4BS,52.56403,-1.161999,4,express,15.9778,15.9778
1,2,D244,Lucas Roberts,LE8 5RF,52.55695,-1.135023,2,standard,1.9862,17.964
1,3,D095,Zara Jones,LE8 5RG,52.552116,-1.136667,5,standard,0.5489,18.5129
1,4,D189,Harry Kowalski,LE18 4NJ,52.574799,-1.124432,4,standard,2.6544,21.1673
1,5,D204,Simran Morris,LE18 4ZH,52.578985,-1.123994,2,standard,0.4664,21.6337
1,6,D206,Noah Hussain,LE18 1PJ,52.586606,-1.105702,1,express,1.4985,23.1322
1,7,D051,Aaron Osei,LE18 3YP,52.585119,-1.101555,4,express,0.3253,23.4575
1,8,D300,Mia Roberts,LE2 5UA,52.592068,-1.080407,4,standard,1.6242,25.0817
1,9,D162,Zara Patel,LE2 4QQ,52.595076,-1.06967,2,standard,0.7987,25.8804
1,10,D022,James Williams,LE2 2PB,52.604929,-1.086959,3,standard,1.6012,27.4815
1,11,D239,Sarah Williams,LE5 6DL,52.621424,-1.0809,2,standard,1.8792,29.3608
1,12,D130,Mia Clarke,LE5 4HJ,52.6323,-1.095935,5,standard,1.5787,30.9395
1,13,D231,Amelia Hussain,LE5 4LJ,52.636205,-1.089264,3,express,0.6255,31.5649
1,14,D070,Leon Roberts,LE5 5BS,52.629525,-1.104547,2,standard,1.271,32.836
1,15,D002,Priya Kaur,LE2 0LF,52.630734,-1.123213,4,express,1.2669,34.1029
1,16,D115,Aiden Williams,LE1 6NB,52.631652,-1.127007,5,standard,0.2757,34.3786
1,17,D127,Isabella Khan,LE1 1DN,52.632573,-1.127476,5,standard,0.1072,34.4857
