van,stop_order,delivery_id,customer_name,postcode,latitude,longitude,demand,priority,dist_from_prev_km,route_km_so_far
0,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
0,1,D107,Daniel Evans,CV11 6JY,52.524228,-1.459721,4,express,6.7823,6.7823
0,2,D284,Sarah Morris,CV11 9FD,52.522758,-1.464633,5,standard,1.0575,7.8398
0,3,D131,Aaron Walker,CV10 8BN,52.521387,-1.488069,4,express,2.1918,10.0316
0,4,D097,Lucas Thomas,CV10 7EX,52.517219,-1.480572,5,standard,0.9326,10.9642
0,5,D001,James Davis,CV10 7RY,52.51825,-1.496623,2,standard,1.7645,12.7287
0,6,D110,Aisha Morris,CV10 7HW,52.511765,-1.487459,3,express,1.5546,14.2833
0,7,D168,Daniel Jones,CV12 0HL,52.470812,-1.503598,3,standard,7.6052,21.8885
0,8,D287,Sarah Shah,CV6 6NZ,52.451879,-1.488772,3,standard,4.0423,25.9308
0,9,D229,Mohammed Sharma,CV6 5JB,52.435816,-1.499902,4,standard,3.3222,29.253
0,10,D260,Chloe Khan,CV1 4JD,52.420235,-1.506165,4,express,2.1585,31.4115
0,11,D299,Noah Roberts,CV1 4GN,52.417596,-1.507003,4,express,0.3386,31.7501
0,12,D105,Harry Taylor,CV1 5LZ,52.413508,-1.501212,1,standard,1.2716,33.0217
0,13,D021,Aisha Iqbal,CV2 4PY,52.414214,-1.487472,5,standard,1.3778,34.3995
0,14,D053,Tyler Jones,CV2 3GZ,52.419741,-1.480997,4,express,1.1251,35.5246
0,15,D278,Mohammed Iqbal,CV2 3JD,52.422509,-1.478553,1,standard,0.4286,35.9532
0,16,D026,Ethan Osei,CV2 3AZ,52.423348,-1.451368,5,standard,2.8455,38.7987
0,17,D201,Fatima Walker,CV2 2EY,52.423887,-1.445302,4,standard,1.2409,40.0396
0,18,D172,Simran Rahman,CV2 2JA,52.418833,-1.443219,3,standard,1.2325,41.2721
0,19,D288,Nadia Thomas,CV3 2RS,52.405817,-1.441648,5,standard,2.2187,43.4908
0,20,D133,Charlotte Morris,CV3 3DW,52.388015,-1.456977,5,standard,3.2378,46.7286
0,21,D149,Tyler Thomas,CV4 8YU,52.381739,-1.4608,3,standard,2.3394,49.068
0,22,D253,Aaron Brown,CV3 4DA,52.385755,-1.476281,5,standard,1.5769,50.6449
0,23,D275,Zara Kaur,CV3 5LN,52.391718,-1.497518,1,standard,2.1279,52.7728
0,24,D280,Sophia Patel,CV1 2XL,52.403521,-1.501589,5,standard,1.8171,54.5899
0,25,D084,Aaron Singh,CV4 7BX,52.388265,-1.546443,2,standard,4.7071,59.297
0,26,D069,Aisha Hussain,CV8 2TB,52.343028,-1.556548,4,standard,6.5328,65.8298
0,27,D257,James Singh,CV4 8JB,52.389136,-1.572736,2,standard,6.9794,72.8092
0,28,D224,Harry Walker,CV4 8FL,52.392139,-1.560481,3,standard,1.8495,74.6587
0,29,D145,Mia Kaur,CV4 8LS,52.395684,-1.556463,5,standard,0.753,75.4117
0,30,D269,Noah Clarke,CV4 9BG,52.400006,-1.565445,5,standard,1.3239,76.7356
0,31,D283,Charlotte Clarke,CV4 9FW,52.407024,-1.572079,3,standard,1.301,78.0366
0,32,D116,Oliver Taylor,CV4 9JF,52.398887,-1.57933,4,standard,1.6915,79.7281
0,33,D036,Charlotte Taylor,CV4 8LN,52.394533,-1.596624,4,standard,1.6623,81.3904
0,34,D292,George Hussain,CV4 9UD,52.401526,-1.598824,4,standard,1.2678,82.6582
0,35,D087,George Hussain,CV4 9WG,52.410431,-1.600405,4,express,1.7718,84.43
0,36,D222,Aiden Kaur,CV4 9GY,52.414022,-1.604048,4,standard,0.8671,85.2971
0,37,D128,Liam Brown,CV7 7LB,52.43007,-1.641159,5,standard,4.0612,89.3583
0,38,D078,Chloe Hill,CV5 7BQ,52.414118,-1.577186,1,standard,5.9805,95.3388
0,39,D255,Sophia Wilson,CV5 7AH,52.406042,-1.554508,2,standard,2.1891,97.5279
0,40,D233,Aisha Ahmed,CV5 9JB,52.413794,-1.557517,4,standard,1.0231,98.551
0,41,D060,Daniel Brown,CV5 9NS,52.417367,-1.556025,2,standard,1.2003,99.7513
0,42,D108,Nadia Smith,CV5 9GG,52.426015,-1.568145,1,standard,2.1064,101.8577
0,43,D075,Lucas Davis,CV5 8HT,52.416269,-1.541584,3,express,2.2937,104.1514
0,44,D073,Yasmin Roberts,CV5 8BW,52.411308,-1.52836,2,standard,1.4076,105.559
0,45,D048,Fatima Jones,CV5 6NP,52.40091,-1.52462,5,express,2.4344,107.9934
0,46,D252,George Taylor,CV5 6GG,52.402707,-1.528893,2,standard,0.4942,108.4876
0,47,D121,Noah Patel,CV1 3BJ,52.406573,-1.524574,1,standard,0.9767,109.4643
0,48,D003,Sophia Smith,CV1 4GZ,52.409802,-1.516057,1,standard,1.3458,110.8101
0,49,D295,Zara Roberts,CV1 4DR,52.412974,-1.513479,3,standard,1.2958,112.1059
0,50,D111,Sophia Walker,CV6 2LQ,52.434348,-1.523422,3,express,3.2324,115.3383
0,51,D067,Isabella Ahmed,CV6 2HW,52.442264,-1.524381,3,express,1.4368,116.7751
0,52,D042,James Patel,CV6 4FX,52.443853,-1.515111,2,express,0.8055,117.5806
0,53,D247,Sarah Nwosu,CV13 6JY,52.580387,-1.496177,4,standard,19.8231,137.4037
0,54,D154,Priya Morris,CV13 6LJ,52.607033,-1.47762,4,express,4.2043,141.608
0,55,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,13.4988,155.1068
1,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
1,1,D016,Oliver Iqbal,LE2 9LT,52.58993,-1.156871,4,standard,22.0928,22.0928
1,2,D045,Daniel Rahman,LE8 4BS,52.56403,-1.161999,4,express,3.696,25.7888
1,3,D095,Zara Jones,LE8 5RG,52.552116,-1.136667,5,standard,3.2425,29.0313
1,4,D244,Lucas Roberts,LE8 5RF,52.55695,-1.135023,2,standard,0.8307,29.862
1,5,D166,Tyler Rahman,LE8 0PT,52.544545,-0.994233,4,standard,11.1745,41.0365
1,6,D140,Daniel Nwosu,LE8 8DG,52.527535,-1.040671,4,standard,4.9048,45.9413
1,7,D012,James Jones,LE8 8ER,52.536239,-1.043076,3,express,1.2201,47.1614
1,8,D297,Tyler Patel,LE8 8AP,52.53468,-1.048197,2,standard,0.5296,47.691
1,9,D265,Isabella Nwosu,LE18 3SH,52.575923,-1.08067,4,express,5.6431,53.3341
1,10,D070,Leon Roberts,LE5 5BS,52.629525,-1.104547,2,standard,8.2388,61.5729
1,11,D002,Priya Kaur,LE2 0LF,52.630734,-1.123213,4,express,1.5478,63.1207
1,12,D115,Aiden Williams,LE1 6NB,52.631652,-1.127007,5,standard,0.6875,63.8082
1,13,D127,Isabella Khan,LE1 1DN,52.632573,-1.127476,5,standard,0.6766,64.4848
1,14,D159,Lucas Khan,LE1 5WR,52.629142,-1.135375,3,standard,0.9481,65.4329
1,15,D220,Nadia Roberts,LE1 5BJ,52.633903,-1.133597,1,standard,0.9334,66.3663
1,16,D249,Emily Sharma,LE1 7RJ,52.619327,-1.123367,3,standard,2.2655,68.6318
1,17,D046,Ethan Ahmed,LE2 7NE,52.612159,-1.136433,2,standard,2.0728,70.7046
1,18,D011,Yasmin Jones,LE3 5QA,52.633413,-1.151515,2,express,3.3644,74.069
1,19,D207,Tyler Johnson,LE3 6FJ,52.639759,-1.171758,5,standard,1.8499,75.9189
1,20,D010,Mia Kaur,LE4 3JD,52.680981,-1.136808,2,standard,7.2006,83.1195
1,21,D188,Yasmin Williams,LE4 4ED,52.677815,-1.120645,4,standard,1.3963,84.5158
1,22,D008,Oliver Hussain,LE7 7QY,52.711719,-1.138319,2,standard,5.3551,89.8709
