van,stop_order,delivery_id,customer_name,postcode,latitude,longitude,demand,priority,dist_from_prev_km,route_km_so_far
0,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
0,1,D107,Daniel Evans,CV11 6JY,52.524228,-1.459721,4,express,6.7823,6.7823
0,2,D284,Sarah Morris,CV11 9FD,52.522758,-1.464633,5,standard,1.0575,7.8398
0,3,D131,Aaron Walker,CV10 8BN,52.521387,-1.488069,4,express,2.1918,10.0316
0,4,D097,Lucas Thomas,CV10 7EX,52.517219,-1.480572,5,standard,0.9326,10.9642
0,5,D110,Aisha Morris,CV10 7HW,52.511765,-1.487459,3,express,1.5932,12.5574
0,6,D001,James Davis,CV10 7RY,52.51825,-1.496623,2,standard,1.5546,14.112
0,7,D168,Daniel Jones,CV12 0HL,52.470812,-1.503598,3,standard,9.6622,23.7742
0,8,D287,Sarah Shah,CV6 6NZ,52.451879,-1.488772,3,standard,4.0423,27.8165
0,9,D229,Mohammed Sharma,CV6 5JB,52.435816,-1.499902,4,standard,3.3222,31.1387
0,10,D260,Chloe Khan,CV1 4JD,52.420235,-1.506165,4,express,2.1585,33.2972
0,11,D299,Noah Roberts,CV1 4GN,52.417596,-1.507003,4,express,0.3386,33.6358
0,12,D105,Harry Taylor,CV1 5LZ,52.413508,-1.501212,1,standard,1.2716,34.9074
0,13,D021,Aisha Iqbal,CV2 4PY,52.414214,-1.487472,5,standard,1.3778,36.2852
0,14,D053,Tyler Jones,CV2 3GZ,52.419741,-1.480997,4,express,1.1251,37.4103
0,15,D278,Mohammed Iqbal,CV2 3JD,52.422509,-1.478553,1,standard,0.4286,37.8389
0,16,D026,Ethan Osei,CV2 3AZ,52.423348,-1.451368,5,standard,2.8455,40.6844
0,17,D201,Fatima Walker,CV2 2EY,52.423887,-1.445302,4,standard,1.2409,41.9253
0,18,D172,Simran Rahman,CV2 2JA,52.418833,-1.443219,3,standard,1.2325,43.1578
0,19,D288,Nadia Thomas,CV3 2RS,52.405817,-1.441648,5,standard,2.2187,45.3765
0,20,D133,Charlotte Morris,CV3 3DW,52.388015,-1.456977,5,standard,3.2378,48.6143
0,21,D253,Aaron Brown,CV3 4DA,52.385755,-1.476281,5,standard,1.6634,50.2777
0,22,D149,Tyler Thomas,CV4 8YU,52.381739,-1.4608,3,standard,1.5581,51.8358
0,23,D275,Zara Kaur,CV3 5LN,52.391718,-1.497518,1,standard,3.7048,55.5406
0,24,D280,Sophia Patel,CV1 2XL,52.403521,-1.501589,5,standard,1.8171,57.3577
0,25,D295,Zara Roberts,CV1 4DR,52.412974,-1.513479,3,standard,1.8676,59.2253
0,26,D003,Sophia Smith,CV1 4GZ,52.409802,-1.516057,1,standard,1.2811,60.5064
0,27,D121,Noah Patel,CV1 3BJ,52.406573,-1.524574,1,standard,1.3392,61.8456
0,28,D252,George Taylor,CV5 6GG,52.402707,-1.528893,2,standard,1.0346,62.8802
0,29,D048,Fatima Jones,CV5 6NP,52.40091,-1.52462,5,express,0.4942,63.3744
0,30,D073,Yasmin Roberts,CV5 8BW,52.411308,-1.52836,2,standard,2.2334,65.6078
0,31,D075,Lucas Davis,CV5 8HT,52.416269,-1.541584,3,express,1.3683,66.9761
0,32,D060,Daniel Brown,CV5 9NS,52.417367,-1.556025,2,standard,2.2906,69.2667
0,33,D233,Aisha Ahmed,CV5 9JB,52.413794,-1.557517,4,standard,1.5576,70.8243
0,34,D255,Sophia Wilson,CV5 7AH,52.406042,-1.554508,2,standard,1.0231,71.8474
0,35,D283,Charlotte Clarke,CV4 9FW,52.407024,-1.572079,3,standard,1.4707,73.3181
0,36,D078,Chloe Hill,CV5 7BQ,52.414118,-1.577186,1,standard,1.2468,74.5649
0,37,D108,Nadia Smith,CV5 9GG,52.426015,-1.568145,1,standard,2.2435,76.8084
0,38,D269,Noah Clarke,CV4 9BG,52.400006,-1.565445,5,standard,4.2325,81.0409
0,39,D116,Oliver Taylor,CV4 9JF,52.398887,-1.57933,4,standard,1.2892,82.3301
0,40,D036,Charlotte Taylor,CV4 8LN,52.394533,-1.596624,4,standard,1.6623,83.9924
0,41,D292,George Hussain,CV4 9UD,52.401526,-1.598824,4,standard,1.2678,85.2602
0,42,D087,George Hussain,CV4 9WG,52.410431,-1.600405,4,express,1.7718,87.032
0,43,D222,Aiden Kaur,CV4 9GY,52.414022,-1.604048,4,standard,0.8671,87.8991
0,44,D128,Liam Brown,CV7 7LB,52.43007,-1.641159,5,standard,4.0612,91.9603
0,45,D145,Mia Kaur,CV4 8LS,52.395684,-1.556463,5,standard,10.7988,102.7591
0,46,D224,Harry Walker,CV4 8FL,52.392139,-1.560481,3,standard,0.753,103.5121
0,47,D084,Aaron Singh,CV4 7BX,52.388265,-1.546443,2,standard,1.5567,105.0688
0,48,D257,James Singh,CV4 8JB,52.389136,-1.572736,2,standard,2.4598,107.5286
0,49,D069,Aisha Hussain,CV8 2TB,52.343028,-1.556548,4,standard,7.031,114.5596
0,50,D111,Sophia Walker,CV6 2LQ,52.434348,-1.523422,3,express,13.1293,127.6889
0,51,D067,Isabella Ahmed,CV6 2HW,52.442264,-1.524381,3,express,1.4368,129.1257
0,52,D042,James Patel,CV6 4FX,52.443853,-1.515111,2,express,0.8055,129.9312
0,53,D247,Sarah Nwosu,CV13 6JY,52.580387,-1.496177,4,standard,19.8231,149.7543
0,54,D154,Priya Morris,CV13 6LJ,52.607033,-1.47762,4,express,4.2043,153.9586
0,55,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,13.4988,167.4574
1,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
1,1,D016,Oliver Iqbal,LE2 9LT,52.58993,-1.156871,4,standard,22.0928,22.0928
1,2,D204,Simran Morris,LE18 4ZH,52.578985,-1.123994,2,standard,3.5141,25.6069
1,3,D189,Harry Kowalski,LE18 4NJ,52.574799,-1.124432,4,standard,1.3047,26.9116
1,4,D206,Noah Hussain,LE18 1PJ,52.586606,-1.105702,1,express,2.6328,29.5444
1,5,D051,Aaron Osei,LE18 3YP,52.585119,-1.101555,4,express,0.8797,30.4241
1,6,D265,Isabella Nwosu,LE18 3SH,52.575923,-1.08067,4,express,2.3478,32.7719
1,7,D300,Mia Roberts,LE2 5UA,52.592068,-1.080407,4,standard,4.5528,37.3247
1,8,D162,Zara Patel,LE2 4QQ,52.595076,-1.06967,2,standard,1.3138,38.6385
1,9,D022,James Williams,LE2 2PB,52.604929,-1.086959,3,standard,2.9422,41.5807
1,10,D239,Sarah Williams,LE5 6DL,52.621424,-1.0809,2,standard,2.9655,44.5462
1,11,D231,Amelia Hussain,LE5 4LJ,52.636205,-1.089264,3,express,2.0765,46.6227
1,12,D130,Mia Clarke,LE5 4HJ,52.6323,-1.095935,5,standard,1.0303,47.653
1,13,D070,Leon Roberts,LE5 5BS,52.629525,-1.104547,2,standard,1.2152,48.8682
1,14,D002,Priya Kaur,LE2 0LF,52.630734,-1.123213,4,express,1.5478,50.416
1,15,D115,Aiden Williams,LE1 6NB,52.631652,-1.127007,5,standard,0.6875,51.1035
1,16,D127,Isabella Khan,LE1 1DN,52.632573,-1.127476,5,standard,0.6766,51.7801
1,17,D159,Lucas Khan,LE1 5WR,52.629142,-1.135375,3,standard,0.9481,52.7282
1,18,D220,Nadia Roberts,LE1 5BJ,52.633903,-1.133597,1,standard,0.9334,53.6616
1,19,D249,Emily Sharma,LE1 7RJ,52.619327,-1.123367,3,standard,2.2655,55.9271
1,20,D046,Ethan Ahmed,LE2 7NE,52.612159,-1.136433,2,standard,2.0728,57.9999
1,21,D011,Yasmin Jones,LE3 5QA,52.633413,-1.151515,2,express,3.3644,61.3643
1,22,D207,Tyler Johnson,LE3 6FJ,52.639759,-1.171758,5,standard,1.8499,63.2142
