van,stop_order,delivery_id,customer_name,postcode,latitude,longitude,demand,priority,dist_from_prev_km,route_km_so_far
0,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
0,1,D201,Fatima Walker,CV2 2EY,52.423887,-1.445302,4,standard,16.4623,16.4623
0,2,D026,Ethan Osei,CV2 3AZ,52.423348,-1.451368,5,standard,0.9253,17.3876
0,3,D172,Simran Rahman,CV2 2JA,52.418833,-1.443219,3,standard,1.7694,19.157
0,4,D288,Nadia Thomas,CV3 2RS,52.405817,-1.441648,5,standard,2.2187,21.3757
0,5,D133,Charlotte Morris,CV3 3DW,52.388015,-1.456977,5,standard,3.2378,24.6135
0,6,D149,Tyler Thomas,CV4 8YU,52.381739,-1.4608,3,standard,2.3394,26.9529
0,7,D253,Aaron Brown,CV3 4DA,52.385755,-1.476281,5,standard,1.5769,28.5298
0,8,D275,Zara Kaur,CV3 5LN,52.391718,-1.497518,1,standard,2.1279,30.6577
0,9,D280,Sophia Patel,CV1 2XL,52.403521,-1.501589,5,standard,1.8171,32.4748
0,10,D295,Zara Roberts,CV1 4DR,52.412974,-1.513479,3,standard,1.8676,34.3424
0,11,D003,Sophia Smith,CV1 4GZ,52.409802,-1.516057,1,standard,1.2811,35.6235
0,12,D121,Noah Patel,CV1 3BJ,52.406573,-1.524574,1,standard,1.3392,36.9627
0,13,D252,George Taylor,CV5 6GG,52.402707,-1.528893,2,standard,1.0346,37.9973
0,14,D048,Fatima Jones,CV5 6NP,52.40091,-1.52462,5,express,0.4942,38.4915
0,15,D069,Aisha Hussain,CV8 2TB,52.343028,-1.556548,4,standard,8.2075,46.699
0,16,D257,James Singh,CV4 8JB,52.389136,-1.572736,2,standard,6.9794,53.6784
0,17,D224,Harry Walker,CV4 8FL,52.392139,-1.560481,3,standard,1.8495,55.5279
0,18,D084,Aaron Singh,CV4 7BX,52.388265,-1.546443,2,standard,1.5567,57.0846
0,19,D145,Mia Kaur,CV4 8LS,52.395684,-1.556463,5,standard,1.2891,58.3737
0,20,D269,Noah Clarke,CV4 9BG,52.400006,-1.565445,5,standard,1.3239,59.6976
0,21,D283,Charlotte Clarke,CV4 9FW,52.407024,-1.572079,3,standard,1.301,60.9986
0,22,D116,Oliver Taylor,CV4 9JF,52.398887,-1.57933,4,standard,1.6915,62.6901
0,23,D036,Charlotte Taylor,CV4 8LN,52.394533,-1.596624,4,standard,1.6623,64.3524
0,24,D292,George Hussain,CV4 9UD,52.401526,-1.598824,4,standard,1.2678,65.6202
0,25,D087,George Hussain,CV4 9WG,52.410431,-1.600405,4,express,1.7718,67.392
0,26,D222,Aiden Kaur,CV4 9GY,52.414022,-1.604048,4,standard,0.8671,68.2591
0,27,D128,Liam Brown,CV7 7LB,52.43007,-1.641159,5,standard,4.0612,72.3203
0,28,D078,Chloe Hill,CV5 7BQ,52.414118,-1.577186,1,standard,5.9805,78.3008
0,29,D255,Sophia Wilson,CV5 7AH,52.406042,-1.554508,2,standard,2.1891,80.4899
0,30,D233,Aisha Ahmed,CV5 9JB,52.413794,-1.557517,4,standard,1.0231,81.513
0,31,D060,Daniel Brown,CV5 9NS,52.417367,-1.556025,2,standard,1.2003,82.7133
0,32,D108,Nadia Smith,CV5 9GG,52.426015,-1.568145,1,standard,2.1064,84.8197
0,33,D075,Lucas Davis,CV5 8HT,52.416269,-1.541584,3,express,2.2937,87.1134
0,34,D073,Yasmin Roberts,CV5 8BW,52.411308,-1.52836,2,standard,1.4076,88.521
0,35,D299,Noah Roberts,CV1 4GN,52.417596,-1.507003,4,express,2.1867,90.7077
0,36,D260,Chloe Khan,CV1 4JD,52.420235,-1.506165,4,express,0.3386,91.0463
0,37,D105,Harry Taylor,CV1 5LZ,52.413508,-1.501212,1,standard,1.2146,92.2609
0,38,D021,Aisha Iqbal,CV2 4PY,52.414214,-1.487472,5,standard,1.3778,93.6387
0,39,D053,Tyler Jones,CV2 3GZ,52.419741,-1.480997,4,express,1.1251,94.7638
0,40,D278,Mohammed Iqbal,CV2 3JD,52.422509,-1.478553,1,standard,0.4286,95.1924
0,41,D229,Mohammed Sharma,CV6 5JB,52.435816,-1.499902,4,standard,3.2001,98.3925
0,42,D111,Sophia Walker,CV6 2LQ,52.434348,-1.523422,3,express,2.8235,101.216
0,43,D067,Isabella Ahmed,CV6 2HW,52.442264,-1.524381,3,express,1.4368,102.6528
0,44,D042,James Patel,CV6 4FX,52.443853,-1.515111,2,express,0.8055,103.4583
