van,stop_order,delivery_id,customer_name,postcode,latitude,longitude,demand,priority,dist_from_prev_km,route_km_so_far
0,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
0,1,D154,Priya Morris,CV13 6LJ,52.607033,-1.47762,4,express,10.6742,10.6742
0,2,D247,Sarah Nwosu,CV13 6JY,52.580387,-1.496177,4,standard,3.2171,13.8914
0,3,D131,Aaron Walker,CV10 8BN,52.521387,-1.488069,4,express,6.5834,20.4747
0,4,D001,James Davis,CV10 7RY,52.51825,-1.496623,2,standard,0.6758,21.1505
0,5,D110,Aisha Morris,CV10 7HW,52.511765,-1.487459,3,express,0.9511,22.1016
0,6,D097,Lucas Thomas,CV10 7EX,52.517219,-1.480572,5,standard,0.7648,22.8664
0,7,D284,Sarah Morris,CV11 9FD,52.522758,-1.464633,5,standard,1.2419,24.1083
0,8,D107,Daniel Evans,CV11 6JY,52.524228,-1.459721,4,express,0.3703,24.4787
0,9,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,4.7055,29.1842
1,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
1,1,D046,Ethan Ahmed,LE2 7NE,52.612159,-1.136433,2,standard,19.5961,19.5961
1,2,D249,Emily Sharma,LE1 7RJ,52.619327,-1.123367,3,standard,1.1889,20.785
1,3,D239,Sarah Williams,LE5 6DL,52.621424,-1.0809,2,standard,2.8762,23.6612
1,4,D234,Mia Osei,LE5 1HN,52.645803,-1.065697,5,standard,2.8985,26.5597
1,5,D208,Mohammed Roberts,LE4 9BA,52.651279,-1.096062,3,standard,2.1371,28.6967
1,6,D231,Amelia Hussain,LE5 4LJ,52.636205,-1.089264,3,express,1.7378,30.4345
1,7,D130,Mia Clarke,LE5 4HJ,52.6323,-1.095935,5,standard,0.6255,31.06
1,8,D070,Leon Roberts,LE5 5BS,52.629525,-1.104547,2,standard,0.658,31.718
