van,stop_order,delivery_id,customer_name,postcode,latitude,longitude,demand,priority,dist_from_prev_km,route_km_so_far
0,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
0,1,D003,Aisha Kaur,LE3 9ST,52.648953,-1.170032,5,standard,20.1306,20.1306
0,2,D006,Sophia Taylor,LE1 2EJ,52.639637,-1.123523,5,express,3.3045,23.435
0,3,D010,Liam Taylor,LE5 5UF,52.620208,-1.098178,3,standard,2.7556,26.1906
0,4,D111,Oliver Hussain,LE2 1AL,52.622984,-1.110959,2,standard,0.9163,27.107
0,5,D011,Mohammed Ali,LE1 7PA,52.625594,-1.12107,1,standard,0.7416,27.8486
0,6,D110,Amelia Osei,LE1 7DR,52.627219,-1.123121,1,standard,0.2276,28.0762
0,7,D012,Yasmin Singh,LE2 7GN,52.623948,-1.138048,5,standard,1.0712,29.1474
0,8,D115,James Jones,LE1 5XH,52.632656,-1.135202,3,express,0.9872,30.1345
0,9,D105,Ravi Wilson,LE1 5EB,52.635675,-1.133739,2,express,0.3499,30.4845
0,10,D001,Ravi Williams,LE1 4PF,52.635747,-1.138585,1,standard,0.3271,30.8116
0,11,D013,Nadia Patel,LE3 0LE,52.629976,-1.148627,4,standard,0.9333,31.7449
0,12,D107,Sarah Khan,LE3 0UP,52.632354,-1.160697,2,standard,0.8564,32.6013
0,13,D008,Nadia Nwosu,LE3 0LD,52.627712,-1.157727,1,standard,0.5537,33.155
0,14,D117,Priya Sharma,LE3 1GA,52.616026,-1.166769,1,express,1.4356,34.5907
0,15,D112,Amelia Shah,LE3 2FT,52.616197,-1.16164,5,express,0.3468,34.9375
0,16,D116,Nadia Hussain,LE2 8HY,52.606198,-1.148777,2,standard,1.4108,36.3483
0,17,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,18.5473,54.8956
1,0,DEPOT,DPD Hinckley Depot,LE10 3BQ,52.527037,-1.390319,0,depot,0.0,0.0
1,1,D007,Fatima Roberts,LE2 9PG,52.58674,-1.154556,5,standard,17.2657,17.2657
