==============================================================
  ROUTING SUMMARY — DPD Hinckley
==============================================================

  Input file : d:\VS-Projects\VRP\data\clusters2.csv
  Depot      : LE10 3BQ
  Total stops: 300
  Vans       : 24
  RR restarts: 50

  ALGORITHM COMPARISON (total km across all vans)
  Algorithm                   Total km     vs NN      Time
  -------------------------------------------------------
  Nearest Neighbour            1942.55  baseline  0.0033s
  2-opt (from NN)              1890.59      2.7%  0.0990s
  Random Restart 2-opt         1883.13      3.1%  5.6854s

  PER-VAN BREAKDOWN
  Van   Stops        NN     2-opt   RR-2opt      Best
  -------------------------------------------------------
  Van 0      8     30.18     29.18     29.18     2-opt
  Van 1     14     59.26     55.54     55.54     2-opt
  Van 2      9     67.22     65.23     64.04   RR-2opt
  Van 3     18     44.00     41.07     40.83   RR-2opt
  Van 4      9     36.01     36.01     36.01   RR-2opt
  Van 5     14    118.05    117.47    116.86   RR-2opt
  Van 6      9    126.54    126.11    126.10   RR-2opt
  Van 7      4    112.89    112.89    112.89     2-opt
  Van 8      9    153.93    144.39    144.39     2-opt
  Van 9     13    110.54    109.41    109.41     2-opt
  Van 10    14    105.00    105.00    105.00        NN
  Van 11    10    117.53    116.54    116.54     2-opt
  Van 12    18     51.46     48.14     47.88   RR-2opt
  Van 13    18     80.26     79.90     79.58   RR-2opt
  Van 14    13     78.97     77.45     77.45     2-opt
  Van 15    12     73.18     72.66     72.01   RR-2opt
  Van 16    11     84.48     83.80     83.32   RR-2opt
  Van 17    10     64.93     62.50     62.28   RR-2opt
  Van 18    18     87.62     83.79     81.94   RR-2opt
  Van 19    19     86.85     83.70     83.70     2-opt
  Van 20    14     47.00     46.44     46.44     2-opt
  Van 21    10     40.90     34.61     34.61   RR-2opt
  Van 22    19     70.94     64.68     63.42   RR-2opt
  Van 23     7     94.83     94.08     93.72   RR-2opt

  ROUTE ORDER PER VAN (Random Restart 2-opt — best result)

  Van 0  (8 stops, 29.18 km)
     0. DEPOT    LE10 3BQ   DPD Hinckley Depot
     1. D154     CV13 6LJ   Priya Morris
     2. D247     CV13 6JY   Sarah Nwosu
     3. D131     CV10 8BN   Aaron Walker
     4. D001     CV10 7RY   James Davis
     5. D110     CV10 7HW   Aisha Morris
     6. D097     CV10 7EX   Lucas Thomas
     7. D284     CV11 9FD   Sarah Morris
     8. D107     CV11 6JY   Daniel Evans
     9. DEPOT    LE10 3BQ   DPD Hinckley Depot

  Van 1  (14 stops, 55.54 km)
     0. DEPOT    LE10 3BQ   DPD Hinckley Depot
     1. D046     LE2 7NE    Ethan Ahmed
     2. D249     LE1 7RJ    Emily Sharma
     3. D239     LE5 6DL    Sarah Williams
     4. D234     LE5 1HN    Mia Osei
     5. D208     LE4 9BA    Mohammed Roberts
     6. D231     LE5 4LJ    Amelia Hussain
     7. D130     LE5 4HJ    Mia Clarke
     8. D070     LE5 5BS    Leon Roberts
     9. D002     LE2 0LF    Priya Kaur
    10. D115     LE1 6NB    Aiden Williams
    11. D127     LE1 1DN    Isabella Khan
    12. D220     LE1 5BJ    Nadia Roberts
    13. D159     LE1 5WR    Lucas Khan
    14. D011     LE3 5QA    Yasmin Jones
    15. DEPOT    LE10 3BQ   DPD Hinckley Depot

  Van 2  (9 stops, 64.04 km)
     0. DEPOT    LE10 3BQ   DPD Hinckley Depot
     1. D296     LE4 7ZJ    Amelia Johnson
     2. D188     LE4 4ED    Yasmin Williams
     3. D072     LE4 8BE    Mohammed Begum
     4. D167     LE4 8FD    James Begum
     5. D076     LE7 2AW    Noah Shah
     6. D101     LE7 1NF    Aiden Smith
     7. D157     LE7 7NA    Aiden Thomas
     8. D008     LE7 7QY    Oliver Hussain
     9. D010     LE4 3JD    Mia Kaur
    10. DEPOT    LE10 3BQ   DPD Hinckley Depot

  Van 3  (18 stops, 40.83 km)
     0. DEPOT    LE10 3BQ   DPD Hinckley Depot
