==============================================================
  ROUTING SUMMARY — DPD Hinckley
==============================================================

  Input file : d:\VS-Projects\VRP\data\clusters3.csv
  Depot      : LE10 3BQ
  Total stops: 300
  Vans       : 9
  RR restarts: 50

  ALGORITHM COMPARISON (total km across all vans)
  Algorithm                   Total km     vs NN      Time
  -------------------------------------------------------
  Nearest Neighbour            1044.96  baseline  0.0072s
  2-opt (from NN)               966.13      7.5%  1.0778s
  Random Restart 2-opt          941.85      9.9%  63.5945s

  PER-VAN BREAKDOWN
  Van   Stops        NN     2-opt   RR-2opt      Best
  -------------------------------------------------------
  Van 0     54    114.31    103.63    102.54   RR-2opt
  Van 1     40    119.29    111.78    101.84   RR-2opt
  Van 2     51    153.94    147.03    141.10   RR-2opt
  Van 3      7     94.83     94.08     93.72   RR-2opt
  Van 4     22    161.09    154.09    151.94   RR-2opt
  Van 5     35     91.45     69.24     68.58   RR-2opt
  Van 6     46    103.30     99.20     96.99   RR-2opt
  Van 7     16     87.33     82.41     82.29   RR-2opt
  Van 8     29    119.41    104.67    102.84   RR-2opt

  ROUTE ORDER PER VAN (Random Restart 2-opt — best result)

  Van 0  (54 stops, 102.54 km)
     0. DEPOT    LE10 3BQ   DPD Hinckley Depot
     1. D154     CV13 6LJ   Priya Morris
     2. D247     CV13 6JY   Sarah Nwosu
     3. D107     CV11 6JY   Daniel Evans
     4. D284     CV11 9FD   Sarah Morris
     5. D097     CV10 7EX   Lucas Thomas
     6. D131     CV10 8BN   Aaron Walker
     7. D001     CV10 7RY   James Davis
     8. D110     CV10 7HW   Aisha Morris
     9. D168     CV12 0HL   Daniel Jones
    10. D042     CV6 4FX    James Patel
    11. D067     CV6 2HW    Isabella Ahmed
    12. D111     CV6 2LQ    Sophia Walker
    13. D108     CV5 9GG    Nadia Smith
    14. D078     CV5 7BQ    Chloe Hill
    15. D128     CV7 7LB    Liam Brown
    16. D222     CV4 9GY    Aiden Kaur
    17. D087     CV4 9WG    George Hussain
    18. D292     CV4 9UD    George Hussain
    19. D036     CV4 8LN    Charlotte Taylor
    20. D116     CV4 9JF    Oliver Taylor
    21. D257     CV4 8JB    James Singh
    22. D069     CV8 2TB    Aisha Hussain
    23. D084     CV4 7BX    Aaron Singh
    24. D224     CV4 8FL    Harry Walker
    25. D145     CV4 8LS    Mia Kaur
